year,artist,title,track_id
2000,MADISON AVENUE,Dont Call Me Baby,4fazGt0v2v2zkzddQOcDZD
2000,STONE TEMPLE PILOTS,Sour Girl,6wNwHBUjsessjRioNVFbaO
2000,SHYNE,Bad Boyz,2MNQMtZbOb7rBWli3TSok0
2000,METALLICA,I Disappear,51Vic2Yi71YKNtLbyJKgQt
2000,GERALD LEVERT,Baby U Are,4z9aQnKnoM0cDrLkUXdbPr
2000,EMINEM,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR
2000,ZOMBIE NATION,Kernkraft 400,7g8cjrj0sXScNE727685JE
2000,LIL MO,Ta Da,0BKlETtyw17Zz0d76Yfxs3
2000,JANET JACKSON,Doesnt Really Matter,0fJAcQZyy0C2qyt0LluAWp
2000,SISQO,Incomplete,3w8Mw9GHYepoTWOSdiyosj
2000,DESTINYS CHILD,"Jumpin, Jumpin",4pmc2AxSEq6g7hPVlJCPyP
2000,MATCHBOX 20,Bent,6fA7akEuTUL3dW1V0GELaZ
2000,TRINA,Pull Over,6M33HiUHLC3R3gfXYNGMAy
2000,2GETHER,The Hardest Part Of Breaking Up,1hVUDzhWm9Uok4iKvzaNLx
2000,SAMANTHA MUMBA,Gotta Tell You,7ccz9p1ErD6Kq5ZSQmyvLm
2000,BARENAKED LADIES,Pinch Me,2RQ3fWFZJJe4G5KkHEACww
2000,MARTINA McBRIDE,There You Are,1MdhH5wlGMrdL62L3vsqQz
2000,JOHN MICHAEL MONTGOMERY,The Little Girl,572R9OVMyWKBeg1hOMgSsW
2000,LeANN RIMES,Cant Fight The Moonlight,2AogRMqARWyUP7VQ3gmSoY
2000,JAY-Z,Hey Papi,5RpSXFipAX2W6zo4HnHScn
2000,DIXIE CHICKS,Cold Day In July,2dtitppHZmA0MxLZ3Giq3o
2000,BACKSTREET BOYS,The One,44kgtDJyAFv4Z01z7bIxco
2000,CLAY WALKER,The Chain Of Love,68AhslXGVDKUUyHnDkORGF
2000,LFO,West Side Story,4KJKJUetg7Gs3e0MAoSIzX
2000,BRITNEY SPEARS,Oops! ... I Did It Again,6naxalmIoLFWR0siv8dnQQ
2000,SPLENDER,I Think God Can Explain,3YW5qaMNCsMnta8L0j1btB
2000,NINE DAYS,Absolutely,3mNecsYFb6LQg7822DPXCP
2000,KELLY PRICE,As We Lay,5FX8KqBY74jLl0BBTSNl2N
2000,GOO GOO DOLLS,Broadway,0RZuCBV900eNA2FXCQ3uUM
2000,RED HOT CHILI PEPPERS,Californication,48UPSzbZjgc449aqz8bxox
2000,MACY GRAY,I Try,5TAf4lnZCZTLlZHNZMLFLi
2000,LIL ZANE,Callin Me,0io6VQqmCT8Yz1faAqBUFh
2000,MYA,Case Of The Ex,1ak0S3NhwWrUgNlQhJ1412
2000,ENRIQUE IGLESIAS,Could I Have This Kiss Forever,1Sr5Z0pqqEWbNAp2Sos1Dt
2000,CREED,With Arms Open Wide,0eKyHwckh9vQb8ncZ2DXCs
2000,98 DEGREES,Give Me Just One Night,1OvjOVieEsYqGiK1T3mUv9
2000,TAMIA,Cant Go For That,0kyvUS4lUq0UBhVTnJNkgo
2000,LUDACRIS,Whats Your Fantasy,4LwOrnuxJwR7C5Sw4liY4Z
2000,KELLY PRICE,You Shouldve Told Me,6NwKYeHDcfEAKVYsUZy4Dx
2000,PATTY LOVELESS,Thats The Kind Of Mood Im In,71JdxVBpSlqJFKh929iDVn
2000,BILLY RAY CYRUS,You Wont Be Lonely Now,1uVRIEqMTtnbcxZocYDJRH
2000,FAITH HILL,The Way You Love Me,6vgN6KGstss0GnBbKlMNK9
2000,PROFYLE,Liar,18jS43nfrzTvN68Q9tkjDh
2000,CARL THOMAS,Summer Rain,0NBHHa8wwwmBnn3aAzX5wJ
2000,CHANGING FACES,That Other Woman,7c9OYhqeRkDQsoRYGjDrv2
2000,N SYNC,This I Promise You,46n2EGFnPC3tzWCN1Aqe26
2000,R. KELLY,I Wish,7sOqd1dVmfU5mgqrUtlqc5
2000,MARC ANTHONY,My Baby You,124qDsjeZZkujOuer8gG45
2000,JA RULE,Between Me And You,4xwRtK6tfMp4yZwcDvY0gT
2000,PHIL VASSAR,Just Another Day In Paradise,4LlNoNZflek4hZyZigCxpW
2000,LONESTAR,Amazed,6iNcyWk5iUEY7P9zeTc5hm
2000,504 BOYZ,Wobble Wobble,6frPth5B1zneT8EV71ZO0V
2000,MARIAH CAREY,Crybaby,5DkHYNiEqDnyKHW5r1Esj6
2000,ANDY GRIGGS,Shes More,0bF8vEqQyvTfAMWkbP7MnY
2000,DMX,What You Want,0xT3Fg571q1iFjLe897ZYX
2000,EVE,Got It All,6oL0bOaqBsyM5Q9Rnp7DaH
2000,TORREY CARTER,Take That,2tQImp7aFr0HrxjQ8IkQB8
2000,M2M,Mirror Mirror,2gX1J5hbHs1V7gkHsNglTv
2000,TRICK DADDY,Shut Up,2cgEIwFGTHncLLggkFNz9m
2000,MYA,Best Of Me,4iENqwyANM57YUEDcFVpWq
2000,ELTON JOHN,Someday Out Of The Blue,1MtLyoONKfK41bQONcARsn
