year,artist,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
2000,SON BY FOUR,Purest Of Pain,1MOqMyQ7CULmWWjovkFY5B,0.565,0.547,0.0,-7.722,1.0,0.0347,0.579,0.0,0.194,0.252,75.018,audio_features,1MOqMyQ7CULmWWjovkFY5B,spotify:track:1MOqMyQ7CULmWWjovkFY5B,https://api.spotify.com/v1/tracks/1MOqMyQ7CULmWWjovkFY5B,https://api.spotify.com/v1/audio-analysis/1MOqMyQ7CULmWWjovkFY5B,209320.0,4.0,1.0
2000,MARC ANTHONY,You Sang To Me,2dwhMQsFeHr2S787WxqAqW,0.578,0.894,10.0,-5.42,1.0,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,audio_features,2dwhMQsFeHr2S787WxqAqW,spotify:track:2dwhMQsFeHr2S787WxqAqW,https://api.spotify.com/v1/tracks/2dwhMQsFeHr2S787WxqAqW,https://api.spotify.com/v1/audio-analysis/2dwhMQsFeHr2S787WxqAqW,347107.0,4.0,1.0
2000,FAITH HILL,Breathe,3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7.0,-9.007,1.0,0.029,0.173,0.0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547.0,4.0,1.0
2000,JO DEE MESSINA,Thats The Way,296XGtH5MeGisqD3uAz6Q6,0.488,0.923,2.0,-3.697,1.0,0.103,0.129,0.0,0.158,0.818,183.891,audio_features,296XGtH5MeGisqD3uAz6Q6,spotify:track:296XGtH5MeGisqD3uAz6Q6,https://api.spotify.com/v1/tracks/296XGtH5MeGisqD3uAz6Q6,https://api.spotify.com/v1/audio-analysis/296XGtH5MeGisqD3uAz6Q6,202253.0,4.0,1.0
2000,TONI BRAXTON,Just Be A Man About It,6kD36kVRn5leDDbjXpHQY0,0.753,0.45,9.0,-6.909,1.0,0.0924,0.274,2e-06,0.321,0.56,109.405,audio_features,6kD36kVRn5leDDbjXpHQY0,spotify:track:6kD36kVRn5leDDbjXpHQY0,https://api.spotify.com/v1/tracks/6kD36kVRn5leDDbjXpHQY0,https://api.spotify.com/v1/audio-analysis/6kD36kVRn5leDDbjXpHQY0,288933.0,4.0,1.0
2000,PINK,There You Go,3IQMlYFrnoTa6xJ15rlqTN,0.242,0.891,7.0,-2.71,1.0,0.0443,0.00559,0.215,0.104,0.515,156.288,audio_features,3IQMlYFrnoTa6xJ15rlqTN,spotify:track:3IQMlYFrnoTa6xJ15rlqTN,https://api.spotify.com/v1/tracks/3IQMlYFrnoTa6xJ15rlqTN,https://api.spotify.com/v1/audio-analysis/3IQMlYFrnoTa6xJ15rlqTN,297777.0,4.0,1.0
2000,98 DEGREES,Give Me Just One Night,1OvjOVieEsYqGiK1T3mUv9,0.543,0.79,0.0,-6.145,1.0,0.0491,0.0513,3.55e-06,0.0981,0.655,123.631,audio_features,1OvjOVieEsYqGiK1T3mUv9,spotify:track:1OvjOVieEsYqGiK1T3mUv9,https://api.spotify.com/v1/tracks/1OvjOVieEsYqGiK1T3mUv9,https://api.spotify.com/v1/audio-analysis/1OvjOVieEsYqGiK1T3mUv9,205160.0,4.0,1.0
2000,DA BRAT,WhatChu Like,5d8woPn6sHRA6yPnnHnqSt,0.879,0.681,10.0,-8.951,0.0,0.24,0.017,0.0,0.0669,0.817,99.974,audio_features,5d8woPn6sHRA6yPnnHnqSt,spotify:track:5d8woPn6sHRA6yPnnHnqSt,https://api.spotify.com/v1/tracks/5d8woPn6sHRA6yPnnHnqSt,https://api.spotify.com/v1/audio-analysis/5d8woPn6sHRA6yPnnHnqSt,221160.0,4.0,1.0
2000,ALAN JACKSON,It Must Be Love,16OFkCrdYH524sqvTPt6CT,0.816,0.669,6.0,-7.925,1.0,0.0295,0.284,0.0,0.0563,0.967,112.132,audio_features,16OFkCrdYH524sqvTPt6CT,spotify:track:16OFkCrdYH524sqvTPt6CT,https://api.spotify.com/v1/tracks/16OFkCrdYH524sqvTPt6CT,https://api.spotify.com/v1/audio-analysis/16OFkCrdYH524sqvTPt6CT,171813.0,4.0,1.0
2000,BILLY GILMAN,One Voice,3ZdA3QuqHqOJdsczRwT1hg,0.442,0.447,0.0,-8.838,1.0,0.0252,0.101,0.0,0.0962,0.16,149.652,audio_features,3ZdA3QuqHqOJdsczRwT1hg,spotify:track:3ZdA3QuqHqOJdsczRwT1hg,https://api.spotify.com/v1/tracks/3ZdA3QuqHqOJdsczRwT1hg,https://api.spotify.com/v1/audio-analysis/3ZdA3QuqHqOJdsczRwT1hg,249840.0,4.0,1.0
2000,AVANT,Separated,5S0cvScXb33JVpjTiY9Ivi,0.798,0.48,0.0,-5.564,1.0,0.0276,0.247,0.0,0.237,0.643,108.241,audio_features,5S0cvScXb33JVpjTiY9Ivi,spotify:track:5S0cvScXb33JVpjTiY9Ivi,https://api.spotify.com/v1/tracks/5S0cvScXb33JVpjTiY9Ivi,https://api.spotify.com/v1/audio-analysis/5S0cvScXb33JVpjTiY9Ivi,255600.0,4.0,1.0
