danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
0.557,0.655,1.0,-11.17,1.0,0.635,0.571,0.0,0.863,0.587,46.801,audio_features,2h3OD7psc46VriLAocmNXX,spotify:track:2h3OD7psc46VriLAocmNXX,https://api.spotify.com/v1/tracks/2h3OD7psc46VriLAocmNXX,https://api.spotify.com/v1/audio-analysis/2h3OD7psc46VriLAocmNXX,102373.0,4.0,0.0
0.55,0.363,9.0,-12.857,1.0,0.052,0.456,2.04e-05,0.297,0.565,142.977,audio_features,6n2q9hCLbIwKesMi4aFXZn,spotify:track:6n2q9hCLbIwKesMi4aFXZn,https://api.spotify.com/v1/tracks/6n2q9hCLbIwKesMi4aFXZn,https://api.spotify.com/v1/audio-analysis/6n2q9hCLbIwKesMi4aFXZn,457227.0,4.0,0.0
0.519,0.303,4.0,-9.981,1.0,0.0417,0.911,0.00256,0.0696,0.21,140.406,audio_features,2QunlTaeHvNx773hR5mKjR,spotify:track:2QunlTaeHvNx773hR5mKjR,https://api.spotify.com/v1/tracks/2QunlTaeHvNx773hR5mKjR,https://api.spotify.com/v1/audio-analysis/2QunlTaeHvNx773hR5mKjR,418368.0,4.0,0.0
0.636,0.844,1.0,-7.007,1.0,0.0443,1.85e-05,0.414,0.247,0.334,100.03,audio_features,5pPeWvlH7T74gLBmUKtUde,spotify:track:5pPeWvlH7T74gLBmUKtUde,https://api.spotify.com/v1/tracks/5pPeWvlH7T74gLBmUKtUde,https://api.spotify.com/v1/audio-analysis/5pPeWvlH7T74gLBmUKtUde,169941.0,4.0,0.0
0.708,0.287,8.0,-24.331,1.0,0.905,0.152,3.86e-05,0.257,0.392,126.382,audio_features,70D5WTh5yGvDeRinBNE1Nw,spotify:track:70D5WTh5yGvDeRinBNE1Nw,https://api.spotify.com/v1/tracks/70D5WTh5yGvDeRinBNE1Nw,https://api.spotify.com/v1/audio-analysis/70D5WTh5yGvDeRinBNE1Nw,212964.0,3.0,0.0
0.177,0.25,11.0,-19.072,1.0,0.0428,0.98,0.363,0.203,0.295,133.198,audio_features,2htdiDk2ZZaA4orrWnSeYf,spotify:track:2htdiDk2ZZaA4orrWnSeYf,https://api.spotify.com/v1/tracks/2htdiDk2ZZaA4orrWnSeYf,https://api.spotify.com/v1/audio-analysis/2htdiDk2ZZaA4orrWnSeYf,81747.0,3.0,0.0
0.556,0.606,6.0,-6.875,0.0,0.0342,0.255,4.5e-06,0.351,0.414,96.212,audio_features,3Cxsq5BEod95v6BeK8jIbm,spotify:track:3Cxsq5BEod95v6BeK8jIbm,https://api.spotify.com/v1/tracks/3Cxsq5BEod95v6BeK8jIbm,https://api.spotify.com/v1/audio-analysis/3Cxsq5BEod95v6BeK8jIbm,222840.0,4.0,0.0
0.879,0.8,6.0,-4.771,0.0,0.0492,0.632,0.0,0.106,0.829,126.0,audio_features,3LZLEJElg5nswiReZ2XQdV,spotify:track:3LZLEJElg5nswiReZ2XQdV,https://api.spotify.com/v1/tracks/3LZLEJElg5nswiReZ2XQdV,https://api.spotify.com/v1/audio-analysis/3LZLEJElg5nswiReZ2XQdV,354947.0,4.0,0.0
0.682,0.611,9.0,-5.664,1.0,0.0266,0.46,0.0,0.279,0.75,132.319,audio_features,4plBGdRLj2Fu6ISXDfBSKs,spotify:track:4plBGdRLj2Fu6ISXDfBSKs,https://api.spotify.com/v1/tracks/4plBGdRLj2Fu6ISXDfBSKs,https://api.spotify.com/v1/audio-analysis/4plBGdRLj2Fu6ISXDfBSKs,254413.0,4.0,0.0
0.642,0.121,5.0,-24.811,1.0,0.0364,0.931,0.821,0.126,0.338,96.925,audio_features,5Ymt7FO5ikehVXhU86B8Uj,spotify:track:5Ymt7FO5ikehVXhU86B8Uj,https://api.spotify.com/v1/tracks/5Ymt7FO5ikehVXhU86B8Uj,https://api.spotify.com/v1/audio-analysis/5Ymt7FO5ikehVXhU86B8Uj,165952.0,4.0,0.0
0.622,0.414,1.0,-15.979,1.0,0.956,0.726,0.0,0.304,0.726,76.65,audio_features,028zgzZV1BLbLmnJWW0THu,spotify:track:028zgzZV1BLbLmnJWW0THu,https://api.spotify.com/v1/tracks/028zgzZV1BLbLmnJWW0THu,https://api.spotify.com/v1/audio-analysis/028zgzZV1BLbLmnJWW0THu,259339.0,3.0,0.0
0.756,0.575,5.0,-5.872,1.0,0.0627,0.665,0.0,0.0791,0.885,106.332,audio_features,6KxXo7kP6Zl2pshj1W5Wjo,spotify:track:6KxXo7kP6Zl2pshj1W5Wjo,https://api.spotify.com/v1/tracks/6KxXo7kP6Zl2pshj1W5Wjo,https://api.spotify.com/v1/audio-analysis/6KxXo7kP6Zl2pshj1W5Wjo,138413.0,1.0,0.0
0.701,0.223,9.0,-18.418,1.0,0.965,0.167,0.0,0.236,0.355,134.911,audio_features,4tuCN9p1HdOW36RRu6iZMH,spotify:track:4tuCN9p1HdOW36RRu6iZMH,https://api.spotify.com/v1/tracks/4tuCN9p1HdOW36RRu6iZMH,https://api.spotify.com/v1/audio-analysis/4tuCN9p1HdOW36RRu6iZMH,131893.0,3.0,0.0
0.408,0.00673,7.0,-32.254,0.0,0.0493,0.993,0.937,0.0701,0.0798,100.285,audio_features,4ToYdrrbo83jU4HrX9olBL,spotify:track:4ToYdrrbo83jU4HrX9olBL,https://api.spotify.com/v1/tracks/4ToYdrrbo83jU4HrX9olBL,https://api.spotify.com/v1/audio-analysis/4ToYdrrbo83jU4HrX9olBL,199653.0,3.0,0.0
0.728,0.346,4.0,-9.534,0.0,0.0503,0.863,0.65,0.0974,0.812,110.503,audio_features,0RZszJ3Cxmv5m2e7UA2vji,spotify:track:0RZszJ3Cxmv5m2e7UA2vji,https://api.spotify.com/v1/tracks/0RZszJ3Cxmv5m2e7UA2vji,https://api.spotify.com/v1/audio-analysis/0RZszJ3Cxmv5m2e7UA2vji,155855.0,4.0,0.0
0.853,0.734,1.0,-5.843,1.0,0.177,0.314,0.0,0.11,0.801,120.007,audio_features,6u6TkdaTeteA7dFTTGzEKP,spotify:track:6u6TkdaTeteA7dFTTGzEKP,https://api.spotify.com/v1/tracks/6u6TkdaTeteA7dFTTGzEKP,https://api.spotify.com/v1/audio-analysis/6u6TkdaTeteA7dFTTGzEKP,217572.0,4.0,0.0
0.26,0.216,5.0,-19.571,0.0,0.0351,0.93,0.77,0.121,0.0557,64.006,audio_features,6D3UTByxCxE3Q4Ws9NyRM2,spotify:track:6D3UTByxCxE3Q4Ws9NyRM2,https://api.spotify.com/v1/tracks/6D3UTByxCxE3Q4Ws9NyRM2,https://api.spotify.com/v1/audio-analysis/6D3UTByxCxE3Q4Ws9NyRM2,165053.0,4.0,0.0
0.307,0.555,5.0,-10.341,1.0,0.0761,0.514,1.03e-05,0.864,0.36,87.278,audio_features,6cuRCBpuWn0iwZW6uskZNV,spotify:track:6cuRCBpuWn0iwZW6uskZNV,https://api.spotify.com/v1/tracks/6cuRCBpuWn0iwZW6uskZNV,https://api.spotify.com/v1/audio-analysis/6cuRCBpuWn0iwZW6uskZNV,611717.0,4.0,0.0
0.576,0.374,5.0,-11.261,1.0,0.0456,0.939,0.0578,0.213,0.616,97.045,audio_features,1Id9dUE1GJLj07MltQArFR,spotify:track:1Id9dUE1GJLj07MltQArFR,https://api.spotify.com/v1/tracks/1Id9dUE1GJLj07MltQArFR,https://api.spotify.com/v1/audio-analysis/1Id9dUE1GJLj07MltQArFR,281253.0,4.0,0.0
0.227,0.383,10.0,-9.897,1.0,0.0299,0.938,0.603,0.108,0.254,89.155,audio_features,7r5IfGTTfE8knkukCwZAFZ,spotify:track:7r5IfGTTfE8knkukCwZAFZ,https://api.spotify.com/v1/tracks/7r5IfGTTfE8knkukCwZAFZ,https://api.spotify.com/v1/audio-analysis/7r5IfGTTfE8knkukCwZAFZ,167941.0,3.0,0.0
0.3,0.373,10.0,-20.55,1.0,0.177,0.0863,0.0963,0.443,0.211,81.351,audio_features,5lLMS4k29xwEVElchW9NwK,spotify:track:5lLMS4k29xwEVElchW9NwK,https://api.spotify.com/v1/tracks/5lLMS4k29xwEVElchW9NwK,https://api.spotify.com/v1/audio-analysis/5lLMS4k29xwEVElchW9NwK,393294.0,4.0,0.0
0.359,0.0076,7.0,-33.631,0.0,0.0568,0.995,0.91,0.0646,0.237,209.667,audio_features,2XCB4007HEOMIhcl7dYIxv,spotify:track:2XCB4007HEOMIhcl7dYIxv,https://api.spotify.com/v1/tracks/2XCB4007HEOMIhcl7dYIxv,https://api.spotify.com/v1/audio-analysis/2XCB4007HEOMIhcl7dYIxv,176080.0,4.0,0.0
0.0871,0.403,1.0,-27.037,1.0,0.268,0.934,0.624,0.133,0.247,83.861,audio_features,07P71NRGjhlv0sUDrKupGm,spotify:track:07P71NRGjhlv0sUDrKupGm,https://api.spotify.com/v1/tracks/07P71NRGjhlv0sUDrKupGm,https://api.spotify.com/v1/audio-analysis/07P71NRGjhlv0sUDrKupGm,214901.0,4.0,0.0
0.711,0.205,0.0,-20.345,1.0,0.951,0.396,0.0,0.138,0.25,103.365,audio_features,3uOsI2rhVx9qXhju9D1opz,spotify:track:3uOsI2rhVx9qXhju9D1opz,https://api.spotify.com/v1/tracks/3uOsI2rhVx9qXhju9D1opz,https://api.spotify.com/v1/audio-analysis/3uOsI2rhVx9qXhju9D1opz,101583.0,4.0,0.0
0.65,0.36,1.0,-21.282,1.0,0.966,0.55,0.0,0.556,0.161,87.039,audio_features,4K4wT9HTCaoli8l3feUMfO,spotify:track:4K4wT9HTCaoli8l3feUMfO,https://api.spotify.com/v1/tracks/4K4wT9HTCaoli8l3feUMfO,https://api.spotify.com/v1/audio-analysis/4K4wT9HTCaoli8l3feUMfO,113630.0,4.0,0.0
0.442,0.953,8.0,-4.035,1.0,0.053,0.000409,2.05e-05,0.0698,0.804,169.934,audio_features,4K5p2YsAhw3hp7pjDoEWkf,spotify:track:4K5p2YsAhw3hp7pjDoEWkf,https://api.spotify.com/v1/tracks/4K5p2YsAhw3hp7pjDoEWkf,https://api.spotify.com/v1/audio-analysis/4K5p2YsAhw3hp7pjDoEWkf,200800.0,4.0,0.0
0.48,0.818,7.0,-5.152,1.0,0.0366,0.000611,0.375,0.945,0.262,114.984,audio_features,1npJeQnM9MV7WkL0PpcaH8,spotify:track:1npJeQnM9MV7WkL0PpcaH8,https://api.spotify.com/v1/tracks/1npJeQnM9MV7WkL0PpcaH8,https://api.spotify.com/v1/audio-analysis/1npJeQnM9MV7WkL0PpcaH8,359293.0,4.0,0.0
0.708,0.752,5.0,-5.273,1.0,0.0523,0.212,1.63e-05,0.12,0.626,117.057,audio_features,4TMlGIucdKIptgm9dPN8dD,spotify:track:4TMlGIucdKIptgm9dPN8dD,https://api.spotify.com/v1/tracks/4TMlGIucdKIptgm9dPN8dD,https://api.spotify.com/v1/audio-analysis/4TMlGIucdKIptgm9dPN8dD,242760.0,4.0,0.0
