danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
0.728,0.656,6.0,-5.652,1.0,0.416,0.0688,0.0,0.17,0.817,155.866,audio_features,2twGKYnxAYNRQ9z9F3sQ4o,spotify:track:2twGKYnxAYNRQ9z9F3sQ4o,https://api.spotify.com/v1/tracks/2twGKYnxAYNRQ9z9F3sQ4o,https://api.spotify.com/v1/audio-analysis/2twGKYnxAYNRQ9z9F3sQ4o,184673.0,4.0,1.0
0.476,0.478,11.0,-11.766,1.0,0.0395,0.779,0.117,0.103,0.489,89.06,audio_features,6Kn5yzAyOw3jf4Y5a6d1Oq,spotify:track:6Kn5yzAyOw3jf4Y5a6d1Oq,https://api.spotify.com/v1/tracks/6Kn5yzAyOw3jf4Y5a6d1Oq,https://api.spotify.com/v1/audio-analysis/6Kn5yzAyOw3jf4Y5a6d1Oq,259080.0,4.0,1.0
0.683,0.42,5.0,-6.51,1.0,0.0542,0.0875,0.0,0.225,0.469,128.621,audio_features,1YlulsUKDduOmC7WxvXYPW,spotify:track:1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/tracks/1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/audio-analysis/1YlulsUKDduOmC7WxvXYPW,213507.0,4.0,1.0
0.596,0.522,9.0,-6.633,1.0,0.0358,0.373,0.0,0.291,0.443,76.042,audio_features,3DA4SE262k6rdEtlHteNyq,spotify:track:3DA4SE262k6rdEtlHteNyq,https://api.spotify.com/v1/tracks/3DA4SE262k6rdEtlHteNyq,https://api.spotify.com/v1/audio-analysis/3DA4SE262k6rdEtlHteNyq,188320.0,4.0,1.0
0.718,0.691,4.0,-6.44,1.0,0.0387,0.0159,0.0,0.0627,0.552,100.008,audio_features,6ihL9TjfRjadfEePzXXyVF,spotify:track:6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/tracks/6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/audio-analysis/6ihL9TjfRjadfEePzXXyVF,213107.0,4.0,1.0
0.369,0.441,4.0,-11.879,1.0,0.0327,0.931,0.0199,0.105,0.218,128.968,audio_features,4BNew3AqFCvABdFsYMRiyB,spotify:track:4BNew3AqFCvABdFsYMRiyB,https://api.spotify.com/v1/tracks/4BNew3AqFCvABdFsYMRiyB,https://api.spotify.com/v1/audio-analysis/4BNew3AqFCvABdFsYMRiyB,241640.0,3.0,1.0
0.525,0.774,9.0,-4.532,1.0,0.241,0.24,1.07e-06,0.495,0.526,154.192,audio_features,5h0Jgt873QtgL6nJRBGfT6,spotify:track:5h0Jgt873QtgL6nJRBGfT6,https://api.spotify.com/v1/tracks/5h0Jgt873QtgL6nJRBGfT6,https://api.spotify.com/v1/audio-analysis/5h0Jgt873QtgL6nJRBGfT6,202391.0,4.0,1.0
0.771,0.7,1.0,-6.46,1.0,0.233,0.0323,0.0,0.0911,0.417,141.065,audio_features,1TcJDKandYbyo4cCHhKzgr,spotify:track:1TcJDKandYbyo4cCHhKzgr,https://api.spotify.com/v1/tracks/1TcJDKandYbyo4cCHhKzgr,https://api.spotify.com/v1/audio-analysis/1TcJDKandYbyo4cCHhKzgr,191771.0,4.0,1.0
0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047,audio_features,7LcfRTgAVTs5pQGEQgUEzN,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,201160.0,4.0,1.0
0.729,0.504,8.0,-6.784,0.0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,audio_features,4kUZvXB3LC3an3HX6h0s17,spotify:track:4kUZvXB3LC3an3HX6h0s17,https://api.spotify.com/v1/tracks/4kUZvXB3LC3an3HX6h0s17,https://api.spotify.com/v1/audio-analysis/4kUZvXB3LC3an3HX6h0s17,197001.0,4.0,1.0
0.932,0.772,0.0,-3.599,1.0,0.0369,0.225,3.24e-06,0.176,0.863,135.063,audio_features,0wDEs6WvqDHq4XJZC0dHhO,spotify:track:0wDEs6WvqDHq4XJZC0dHhO,https://api.spotify.com/v1/tracks/0wDEs6WvqDHq4XJZC0dHhO,https://api.spotify.com/v1/audio-analysis/0wDEs6WvqDHq4XJZC0dHhO,307200.0,4.0,1.0
0.822,0.705,7.0,-3.147,1.0,0.0373,0.495,1.2e-05,0.115,0.938,94.011,audio_features,5IdaVuUzEDF3T56U5vS5ck,spotify:track:5IdaVuUzEDF3T56U5vS5ck,https://api.spotify.com/v1/tracks/5IdaVuUzEDF3T56U5vS5ck,https://api.spotify.com/v1/audio-analysis/5IdaVuUzEDF3T56U5vS5ck,217587.0,4.0,1.0
0.664,0.708,8.0,-4.154,1.0,0.0474,0.0337,0.0,0.0841,0.742,103.07,audio_features,5Gu0PDLN4YJeW75PpBSg9p,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p,174800.0,4.0,1.0
0.541,0.916,7.0,-5.964,0.0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,audio_features,3bq8WiQrEXMwPAibYs7tpu,spotify:track:3bq8WiQrEXMwPAibYs7tpu,https://api.spotify.com/v1/tracks/3bq8WiQrEXMwPAibYs7tpu,https://api.spotify.com/v1/audio-analysis/3bq8WiQrEXMwPAibYs7tpu,197800.0,4.0,1.0
0.455,0.677,0.0,-7.719,1.0,0.0751,0.593,0.0,0.0899,0.248,169.919,audio_features,3c7peg169veVaJRzlbCaKw,spotify:track:3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/tracks/3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/audio-analysis/3c7peg169veVaJRzlbCaKw,224995.0,4.0,1.0
0.748,0.739,7.0,-1.972,1.0,0.0381,0.461,4.7e-06,0.0834,0.962,115.966,audio_features,1kHpljP6paUsQyZgwFDfxn,spotify:track:1kHpljP6paUsQyZgwFDfxn,https://api.spotify.com/v1/tracks/1kHpljP6paUsQyZgwFDfxn,https://api.spotify.com/v1/audio-analysis/1kHpljP6paUsQyZgwFDfxn,228853.0,1.0,1.0
0.746,0.368,0.0,-6.242,1.0,0.0511,0.994,0.968,0.172,0.706,100.068,audio_features,2Ajwk0E9Yqzp5w0MI0DwOi,spotify:track:2Ajwk0E9Yqzp5w0MI0DwOi,https://api.spotify.com/v1/tracks/2Ajwk0E9Yqzp5w0MI0DwOi,https://api.spotify.com/v1/audio-analysis/2Ajwk0E9Yqzp5w0MI0DwOi,134430.0,4.0,1.0
0.636,0.758,0.0,-5.567,1.0,0.0427,0.331,1.01e-05,0.16,0.281,97.025,audio_features,4XII12nbsvJblXfG1I2QR4,spotify:track:4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/tracks/4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/audio-analysis/4XII12nbsvJblXfG1I2QR4,214107.0,4.0,1.0
0.336,0.231,1.0,-6.217,1.0,0.0497,0.942,0.0,0.188,0.429,168.685,audio_features,0v2LUO8oTHnkjQ8MmKuXyk,spotify:track:0v2LUO8oTHnkjQ8MmKuXyk,https://api.spotify.com/v1/tracks/0v2LUO8oTHnkjQ8MmKuXyk,https://api.spotify.com/v1/audio-analysis/0v2LUO8oTHnkjQ8MmKuXyk,37640.0,5.0,1.0
0.507,0.946,3.0,-3.845,0.0,0.124,0.0427,3.54e-06,0.344,0.494,173.004,audio_features,5Jl2i6LR3Socm4TYqRzZw3,spotify:track:5Jl2i6LR3Socm4TYqRzZw3,https://api.spotify.com/v1/tracks/5Jl2i6LR3Socm4TYqRzZw3,https://api.spotify.com/v1/audio-analysis/5Jl2i6LR3Socm4TYqRzZw3,195990.0,4.0,1.0
0.769,0.71,4.0,-4.583,0.0,0.197,0.559,0.0,0.398,0.588,129.867,audio_features,1xeLSOaNvDg68FGjIkJxkU,spotify:track:1xeLSOaNvDg68FGjIkJxkU,https://api.spotify.com/v1/tracks/1xeLSOaNvDg68FGjIkJxkU,https://api.spotify.com/v1/audio-analysis/1xeLSOaNvDg68FGjIkJxkU,214154.0,4.0,1.0
