year,artist,title
1969,DIANA ROSS & THE SUPREMES,Someday We'll Be Together
1969,"PETER, PAUL AND MARY",Leaving On A Jet Plane
1969,B.J. THOMAS,Raindrops Keep Fallin' On My Head
1969,CREEDENCE CLEARWATER REVIVAL,Down On The Corner / Fortunate Son
1969,STEAM,Na Na Hey Hey Kiss Him Goodbye
1969,NEIL DIAMOND,Holly Holy
1969,BEATLES,Come Together / Something
1969,JACKSON FIVE,I Want You Back
1969,LED ZEPPELIN,Whole Lotta Love
1969,R.B. GREAVES,Take A Letter Maria
1969,FERRANTE & TEICHER,Midnight Cowboy
1969,THREE DOG NIGHT,Eli's Coming
1969,STEVIE WONDER,Yester-Me Yester-You Yesterday
1969,BOBBY SHERMAN,La La La
1969,BLOOD SWEAT AND TEARS,And When I Die
1969,JUNIOR WALKER & THE ALL STARS,These Eyes
1969,GLADYS KNIGHT AND THE PIPS,Friendship Train
1969,MEL & TIM,Backfield In Motion
1969,SHOCKING BLUE,Venus
1969,TOMMY ROE,Jam Up Jelly Tight
1969,BILLY JOE ROYAL,Cherry Hill Park
1969,ARCHIES,Jingle Jangle
1969,ELVIS PRESLEY,Daddy Don't Cry
1969,FLYING MACHINE,Smile A Little Smile For Me
1969,ORIGINALS,Baby I'm For Real
1969,THE BAND,Up On Cripple Creek
1969,DUSTY SPRINGFIELD,A Brand New Me
1969,CROW,Evil Woman Don't Play Your Games With Me
1969,5TH DIMENSION,Wedding Bell Blues
1969,VANITY FARE,Early In The Morning
1969,GRASS ROOTS,Heaven Knows
1969,ARETHA FRANKLIN,Eleanor Rigby
1969,PLASTIC ONO BAND,Cold Turkey
1969,TOMMY JAMES & THE SHONDELLS,She
1969,OLIVER,Sunday Mornin'
1969,JAMES BROWN,Ain't It Funky Now
1969,FRIENDS OF DISTINCTION,Going In Circles
1969,HARLOW WILCOX & THE OAKIES,Groove Grubworm
1969,JIMMY CLIFF,Wonderful World Beautiful People
1969,SMOKEY ROBINSON AND THE MIRACLES,Point It Out
1969,ENGLEBERT HUMPERDINCK,Winter World Of Love
1969,MERLE HAGGARD,Okie From Muskogee
1969,JOHNNY NASH,Cupid
1969,JERRY BUTLER,Don't Let Love Hang You Up
1969,FOUR TOPS,Don't Let Him Take Your Love From Me
1969,FLAMING EMBER,Mind Body And Soul
1969,MARK LINDSAY,Arizona
1969,JANIS JOPLIN,Kozmic Blues
1969,MARVIN GAYE & TAMMI TERRELL,What You Gave Me
1969,TOM JONES,Without Love
1969,DIONNE WARWICK,I'll Never Fall In Love Again
1969,NANCY WILSON,Can't Take My Eyes Off You
1969,BOBBIE GENTRY,Fancy
1969,JAY AND THE AMERICANS,Walkin' In The Rain
1969,WILBERT HARRISON,Let's Work Together
1969,RICK NELSON & STONE CANYON BAND,She Belongs To Me
1969,CLIQUE,I'll Hold Out My Hand
1969,JOE COCKER,She Came In Through The Bathroom Window
1969,GLORIA TAYLOR,You Got To Pay The Price
1969,JOHNNY CASH,Blistered
1969,DENIS YOST & CLASSICS IV,Midnight
1969,ORIGINAL CASTE,One Tin Soldier
1969,CUFF LINKS,When Julie Comes Around
1969,JEFFERSON,Baby Take Me In Your Arms
1969,JEFFERSON AIRPLANE,Volunteers
1969,JAMES BROWN,Let A Man Come In And Do The Popcorn (Part 2)
1969,DAVID RUFFIN,I'm So Glad I Feel For You
1969,TOKENS,She Let's Her Hair Down
1969,JUDY COLLINS,Turn Turn Turn
1969,GUESS WHO,No Time
1969,STEPPENWOLF,Monster
1969,EYDIE GORME,Tonight I'll Say A Prayer
1969,EDDIE HOLMAN,Hey There Lonely Girl
1969,SAVOY BROWN,I'm Tired
1969,THE LETTERMEN,Traces / Memories Medley
1969,OTIS LEAVILL,I Love You
1969,JOHNNY TAYLOR,Love Bones
1969,TURTLES,Lady-O
1969,SYL JOHNSON,Is It Because I'm Black
1969,METERS,Look-A Py Py
1969,LOU CHRISTIE,Are You Getting Any Sunshine
1969,ILLUSION,Together
1969,TOMMY CASH,Six White Horses
1969,SANDPIPERS,Come Saturday Morning
1969,NINA SIMONE,Young Gifted And Black
1969,IKE & TINA TURNER,Bold Soul Sister
1969,NEWBEATS,Groovin'
1969,LULU,Oh Me Oh My (I'm A Fool For You Baby)
1969,INTRIGUES,I'm Gonna Love You
1969,SIMON STOKES & THE NIGHTHAWKS,Voodoo Woman
1969,AL MARTINO,I Started Loving You Again
1969,ARCHIE BELL AND THE DRELLS,A World Without Music
1969,HOLLIES,He Ain't Heavy He's My Brother
1969,100 PROOF AGED IN SOUL,Too Many Cooks
1969,BROTHER JACK McDUFF,Theme From Electric Surfboard
1969,BETTY EVERETT,It's Been A Long Time
1969,GRAND FUNK RAILROAD,Mr. Limousine Driver
1969,KOOL AND THE GANG,The Gangs Back Again
1969,RUBY WINTERS,Guess Who
1969,B.B. KING,The Thrill Is Gone
1969,JOE SOUTH AND THE BELIEVERS,Walk A Mile In My Shoes
1969,THE STREET PEOPLE,Jennifer Tomkins
1969,THE SPIRAL STAIRCASE featuring PAT UPTON,She's Ready
1969,BOBBY GOLDSBORO,Mornin' Mornin'
1969,THE NEW COLONY SIX,"Barbara, I Love You"
1969,THE BUCHANAN BROTHERS,The Last Time
1969,GENE PITNEY,She Lets Her Hair Down
1969,ROTARY CONNECTION,Want You To Know
1969,THE JOE JEFFREY GROUP,Hey Hey Woman
1969,THE RASCALS,Hold On
1969,THE IMPRESSIONS,Amen (1970) / Wherever She Leadeth Me
1969,RAY CHARLES,Claudie Mae
1969,DON YOUNG,She Lets Her Hair Down (Early In The Morning)
1969,WALTER JACKSON,Anyway That You Want Me
1969,THE LOVELITES,How Can I Tell My Mom And Dad
1969,THE BERLIN PHILHARMONIC,2001 A Space Oddyssey
1969,LEE HAZELWOOD,Trouble Maker
1969,GARLAND GREEN,Don't Think That I'm A Violent Guy
1969,THE NEW HOPE,Won't Find Better (Than Me)
1969,THE SWEET INSPIRATIONS,(Gotta Find) A Brand New Lover (Part 1)
1969,REV. MACEO WOODS AND THE CHRISTIAN TABERNACLE BAPTIST CHURCH,Hello Sunshine
1969,"PETER, PAUL AND MARY",Leaving On A Jet Plane
1969,DIANA ROSS & THE SUPREMES,Someday We'll Be Together
1969,CREEDENCE CLEARWATER REVIVAL,Down On The Corner / Fortunate Son
1969,STEAM,Na Na Hey Hey Kiss Him Goodbye
1969,B.J. THOMAS,Raindrops Keep Fallin' On My Head
1969,BEATLES,Come Together / Something
